Date of Census,Total Individuals in Shelter,Families with Children in Shelter,Total Single Adults in Shelter,Adult Families in Shelter
08/21/2013,49673,10261,9941,1796
08/22/2013,49690,10274,9917,1803
08/23/2013,49548,10266,9820,1802
08/24/2013,49617,10291,9800,1801
08/25/2013,49858,10324,9934,1804
08/26/2013,49877,10307,9956,1809
08/27/2013,49736,10277,9922,1813
08/28/2013,49753,10284,9950,1803
08/29/2013,49808,10316,9860,1807
08/30/2013,49525,10281,9685,1811
08/31/2013,49462,10287,9610,1815
09/01/2013,49662,10326,9669,1822
09/02/2013,49781,10319,9801,1823
09/04/2013,49751,10303,9851,1811
09/06/2013,49747,10306,9811,1811
09/07/2013,49912,10354,9787,1821
09/08/2013,49957,10377,9744,1824
09/09/2013,50123,10384,9889,1823
09/10/2013,50149,10394,9890,1826
09/11/2013,50151,10387,9895,1829
09/12/2013,50240,10423,9874,1824
09/13/2013,50218,10417,9849,1825
09/14/2013,50250,10428,9850,1816
09/15/2013,50540,10471,9995,1819
09/16/2013,50526,10455,9995,1836
09/17/2013,50452,10439,10015,1819
09/18/2013,50450,10435,10060,1816
09/19/2013,50414,10455,9955,1824
09/20/2013,50378,10453,9936,1817
09/21/2013,50282,10426,9927,1816
09/22/2013,50461,10457,10004,1822
09/23/2013,50608,10465,10081,1830
09/24/2013,50525,10440,10087,1828
09/25/2013,50584,10453,10082,1832
09/26/2013,50692,10483,10058,1836
09/27/2013,50486,10465,9924,1838
09/28/2013,50434,10462,9896,1829
09/29/2013,50595,10480,9988,1837
09/30/2013,50646,10471,10017,1843
10/01/2013,50315,10438,9813,1838
10/02/2013,50351,10469,9754,1845
10/04/2013,50339,10488,9671,1842
10/05/2013,50324,10483,9678,1839
10/06/2013,50581,10531,9777,1847
10/07/2013,50637,10517,9859,1849
10/08/2013,50602,10494,9887,1846
10/09/2013,50686,10512,9920,1850
10/10/2013,50728,10536,9878,1852
10/11/2013,50674,10534,9829,1851
10/12/2013,50593,10520,9786,1861
10/13/2013,50865,10556,9909,1869
10/14/2013,50962,10558,9999,1869
10/15/2013,50892,10542,10009,1861
10/16/2013,50772,10513,9986,1856
10/17/2013,50762,10510,9990,1849
10/18/2013,50732,10519,9899,1859
10/19/2013,50816,10534,9954,1858
10/20/2013,51059,10568,10073,1863
10/21/2013,51062,10573,10073,1856
10/22/2013,50994,10549,10106,1842
10/23/2013,51052,10554,10159,1849
10/24/2013,51153,10587,10149,1858
10/25/2013,51012,10574,10034,1855
10/26/2013,51055,10592,10034,1860
10/27/2013,51262,10623,10143,1863
10/28/2013,51263,10613,10126,1870
10/29/2013,51222,10598,10129,1866
10/30/2013,51163,10589,10077,1869
10/31/2013,51061,10582,9995,1872
11/01/2013,50733,10570,9736,1864
11/02/2013,50658,10548,9735,1857
11/03/2013,50881,10571,9889,1854
11/04/2013,50912,10555,9954,1858
11/05/2013,50941,10551,9989,1863
11/06/2013,50985,10547,9995,1875
11/07/2013,51028,10562,9983,1872
11/08/2013,50960,10559,9895,1876
11/09/2013,50918,10564,9834,1873
11/10/2013,51066,10581,9941,1879
11/11/2013,51166,10585,10005,1879
11/13/2013,51110,10561,10038,1879
11/14/2013,51185,10587,10011,1879
11/18/2013,51376,10632,10005,1882
11/20/2013,51377,10622,10041,1879
11/21/2013,51380,10633,10017,1885
11/22/2013,51214,10623,9898,1882
11/23/2013,51198,10612,9928,1882
11/24/2013,51422,10638,10052,1882
11/25/2013,51489,10648,10075,1882
11/26/2013,51346,10614,10087,1875
11/27/2013,51283,10616,10019,1882
11/28/2013,51076,10606,9827,1878
11/29/2013,50976,10597,9794,1873
12/01/2013,51218,10599,9986,1885
12/02/2013,51093,10559,10002,1874
12/03/2013,50929,10526,9977,1868
12/04/2013,50909,10524,9946,1868
12/05/2013,50971,10551,9928,1872
12/06/2013,50926,10543,9928,1866
12/07/2013,50999,10546,9983,1871
12/08/2013,51237,10576,10097,1881
12/09/2013,51314,10588,10109,1887
12/10/2013,51156,10545,10129,1883
12/11/2013,51174,10565,10089,1883
12/12/2013,51203,10578,10110,1878
12/13/2013,51073,10570,10010,1877
12/14/2013,51020,10560,10027,1864
12/15/2013,51152,10575,10104,1861
12/16/2013,51215,10564,10167,1872
12/17/2013,51183,10562,10169,1866
12/18/2013,51151,10552,10150,1873
12/20/2013,50871,10537,9924,1866
12/21/2013,50851,10542,9901,1867
12/22/2013,50992,10565,9965,1865
12/23/2013,51082,10561,10011,1878
12/24/2013,50818,10532,9872,1863
12/25/2013,50965,10556,9942,1866
12/26/2013,51013,10547,10003,1868
12/27/2013,50861,10508,9959,1865
12/28/2013,50787,10494,9921,1864
12/29/2013,50994,10516,10038,1873
12/30/2013,50927,10500,10021,1871
12/31/2013,50370,10458,9618,1867
01/01/2014,50689,10469,9919,1866
01/02/2014,50797,10484,9950,1871
01/03/2014,50954,10521,10001,1872
01/04/2014,50957,10520,10004,1877
01/05/2014,50957,10502,10078,1874
01/06/2014,50910,10462,10103,1874
01/07/2014,51082,10487,10207,1874
01/08/2014,51319,10567,10151,1878
01/09/2014,51352,10586,10103,1892
01/10/2014,51125,10549,10047,1864
01/11/2014,51054,10543,10026,1865
01/12/2014,51261,10584,10113,1872
01/13/2014,51345,10598,10122,1881
01/14/2014,51227,10559,10142,1870
01/15/2014,51344,10591,10144,1867
01/16/2014,51413,10605,10157,1870
01/17/2014,51371,10609,10086,1876
01/18/2014,51319,10591,10123,1871
01/19/2014,51472,10624,10168,1877
01/20/2014,51585,10627,10244,1881
01/21/2014,51649,10627,10272,1888
01/22/2014,51809,10669,10309,1888
01/23/2014,51882,10666,10361,1898
01/24/2014,51907,10685,10309,1897
01/25/2014,51927,10698,10282,1893
01/26/2014,52121,10737,10344,1904
01/27/2014,52168,10740,10359,1903
01/28/2014,52178,10752,10362,1899
01/29/2014,52247,10767,10394,1897
01/30/2014,52231,10772,10343,1902
01/31/2014,51909,10744,10111,1891
02/01/2014,51668,10684,10099,1872
02/02/2014,51724,10692,10114,1875
02/03/2014,51943,10727,10211,1881
02/04/2014,52077,10759,10233,1895
02/05/2014,52137,10760,10266,1902
02/06/2014,52199,10767,10274,1914
02/07/2014,52162,10774,10192,1919
02/08/2014,51992,10742,10163,1911
02/09/2014,52084,10730,10276,1917
02/10/2014,52164,10734,10346,1911
02/11/2014,52166,10722,10392,1906
02/12/2014,52137,10725,10364,1897
02/13/2014,52319,10770,10374,1913
02/14/2014,52153,10763,10259,1908
02/15/2014,52069,10738,10263,1896
02/16/2014,52165,10740,10340,1900
02/17/2014,52270,10754,10397,1904
02/18/2014,52325,10764,10398,1910
02/19/2014,52261,10743,10388,1907
02/20/2014,52171,10731,10378,1889
02/22/2014,52074,10744,10224,1895
02/23/2014,52249,10771,10292,1902
02/24/2014,52301,10754,10375,1901
02/25/2014,52261,10738,10404,1894
02/26/2014,52338,10758,10382,1895
02/27/2014,52354,10771,10357,1899
02/28/2014,52184,10766,10215,1894
03/01/2014,52167,10778,10135,1906
03/02/2014,52295,10796,10239,1895
03/03/2014,52271,10776,10275,1893
03/04/2014,52118,10739,10278,1893
03/05/2014,52128,10729,10311,1896
03/07/2014,52070,10743,10209,1900
03/08/2014,52031,10753,10163,1885
03/09/2014,52211,10787,10233,1893
03/10/2014,52157,10748,10309,1884
03/11/2014,52010,10741,10239,1874
03/12/2014,52147,10761,10332,1872
03/13/2014,52147,10767,10318,1872
03/14/2014,52071,10781,10188,1881
03/15/2014,52011,10773,10181,1868
03/16/2014,52253,10794,10337,1874
03/17/2014,52293,10786,10389,1879
03/18/2014,52232,10788,10360,1870
03/19/2014,52299,10778,10419,1879
03/20/2014,52270,10784,10387,1866
03/21/2014,52152,10796,10233,1873
03/22/2014,52162,10800,10202,1880
03/23/2014,52389,10825,10348,1884
03/24/2014,52407,10804,10430,1881
03/25/2014,52367,10793,10453,1876
03/26/2014,52422,10815,10441,1878
03/27/2014,52425,10822,10424,1876
03/28/2014,52286,10831,10260,1877
03/29/2014,52328,10838,10284,1873
03/30/2014,52495,10863,10381,1873
03/31/2014,52420,10839,10374,1875
04/01/2014,52169,10804,10268,1880
04/02/2014,53345,11031,10285,1880
04/03/2014,53274,11035,10209,1882
04/04/2014,53288,11048,10157,1886
04/05/2014,53276,11057,10146,1880
04/06/2014,53511,11080,10286,1886
04/07/2014,53540,11065,10334,1895
04/08/2014,52309,10842,10308,1890
04/09/2014,52319,10835,10340,1894
04/10/2014,52302,10848,10309,1894
04/11/2014,52271,10865,10241,1893
04/12/2014,52254,10866,10202,1889
04/13/2014,52462,10897,10275,1893
04/14/2014,52438,10869,10324,1896
04/15/2014,52487,10853,10434,1888
04/16/2014,52585,10885,10443,1892
04/17/2014,52566,10887,10446,1889
04/18/2014,52430,10866,10386,1886
04/19/2014,52428,10890,10311,1887
04/20/2014,52591,10911,10408,1889
04/21/2014,52613,10893,10485,1887
04/22/2014,52516,10866,10492,1875
04/23/2014,52615,10893,10514,1873
04/24/2014,52602,10893,10507,1857
04/25/2014,52510,10902,10387,1862
04/26/2014,52583,10912,10419,1866
04/27/2014,52740,10941,10488,1872
04/28/2014,52804,10949,10533,1876
04/29/2014,52807,10922,10610,1873
04/30/2014,52807,10940,10579,1870
05/01/2014,52685,10967,10378,1878
05/02/2014,52536,10970,10211,1883
05/03/2014,52517,10972,10208,1877
05/04/2014,52748,10990,10348,1891
05/05/2014,52839,11001,10382,1895
05/06/2014,52793,10982,10390,1890
05/07/2014,52835,10989,10405,1896
05/08/2014,52919,11009,10412,1902
05/09/2014,52867,11020,10347,1903
05/10/2014,52887,11044,10290,1903
05/11/2014,53030,11072,10329,1912
05/12/2014,53118,11061,10424,1914
05/13/2014,53106,11045,10467,1914
05/14/2014,53195,11067,10482,1914
05/15/2014,53242,11088,10447,1912
05/16/2014,53121,11096,10320,1912
05/17/2014,53198,11113,10319,1918
05/18/2014,53402,11134,10437,1923
05/19/2014,53393,11131,10429,1919
05/20/2014,53339,11123,10413,1917
05/21/2014,53419,11157,10408,1915
05/22/2014,53377,11146,10429,1909
05/23/2014,53330,11147,10357,1912
05/24/2014,53243,11137,10337,1902
05/25/2014,53247,11160,10295,1896
05/26/2014,53265,11154,10333,1892
05/27/2014,53341,11138,10407,1905
05/28/2014,53327,11135,10404,1902
05/29/2014,53310,11129,10434,1896
05/30/2014,53212,11146,10282,1901
05/31/2014,53197,11139,10310,1897
06/01/2014,53383,11169,10392,1906
06/02/2014,53374,11162,10367,1914
06/03/2014,53324,11143,10363,1915
06/04/2014,53320,11144,10348,1913
06/05/2014,53352,11152,10363,1914
06/06/2014,53344,11177,10276,1921
06/07/2014,53336,11175,10233,1923
06/08/2014,53505,11197,10333,1924
06/09/2014,53513,11170,10405,1924
06/10/2014,53481,11164,10422,1913
06/11/2014,53544,11180,10422,1918
06/12/2014,53595,11200,10394,1926
06/13/2014,53586,11223,10317,1925
06/14/2014,53547,11221,10297,1920
06/15/2014,53630,11245,10323,1918
06/16/2014,53754,11250,10417,1920
06/17/2014,53650,11228,10393,1916
06/18/2014,53767,11244,10411,1928
06/19/2014,53835,11260,10425,1926
06/20/2014,53719,11257,10328,1926
06/21/2014,53733,11260,10332,1927
06/22/2014,53894,11288,10418,1923
06/27/2014,53736,11247,10336,1930
06/28/2014,53804,11288,10313,1922
06/29/2014,53986,11312,10394,1927
06/30/2014,53928,11292,10388,1924
07/01/2014,53742,11256,10338,1916
07/03/2014,53658,11253,10281,1920
07/04/2014,53608,11248,10240,1919
07/05/2014,53717,11277,10237,1930
07/06/2014,53892,11290,10366,1925
07/07/2014,53927,11280,10407,1924
07/08/2014,53968,11277,10451,1924
07/09/2014,54091,11318,10442,1933
07/10/2014,54102,11338,10416,1925
07/11/2014,54145,11350,10379,1934
07/12/2014,54125,11353,10331,1943
07/13/2014,54395,11387,10478,1947
07/14/2014,54417,11365,10537,1949
07/15/2014,54439,11358,10575,1944
07/16/2014,54404,11356,10565,1949
07/17/2014,54427,11376,10537,1954
07/18/2014,54374,11383,10457,1956
07/19/2014,54421,11386,10475,1965
07/20/2014,54602,11414,10569,1968
07/21/2014,54581,11401,10599,1967
07/22/2014,54421,11355,10588,1976
07/23/2014,54605,11395,10624,1976
07/24/2014,54706,11430,10614,1978
07/25/2014,54602,11431,10517,1984
07/26/2014,54554,11431,10459,1982
07/27/2014,54783,11465,10558,1984
07/29/2014,54763,11444,10600,1967
07/30/2014,54759,11436,10588,1974
07/31/2014,54742,11443,10519,1971
08/01/2014,54467,11423,10319,1969
08/02/2014,54471,11412,10358,1974
08/03/2014,54712,11438,10482,1985
08/04/2014,54765,11447,10494,2002
08/05/2014,54645,11406,10531,1999
08/06/2014,54711,11414,10539,2004
08/07/2014,54737,11417,10544,1997
08/08/2014,54726,11441,10468,1999
08/09/2014,54648,11439,10418,1984
08/10/2014,54945,11494,10540,1984
08/11/2014,54855,11434,10598,1995
08/12/2014,54851,11423,10620,1995
08/13/2014,54801,11416,10631,2000
08/14/2014,54793,11411,10612,2010
08/15/2014,54730,11415,10522,2014
08/16/2014,54617,11415,10463,2000
08/17/2014,54830,11445,10554,2008
08/18/2014,54874,11440,10626,2000
08/19/2014,54889,11431,10639,2004
08/20/2014,54920,11438,10641,2015
08/21/2014,54964,11452,10611,2016
08/22/2014,54944,11461,10560,2017
08/23/2014,54930,11453,10561,2020
08/24/2014,55097,11483,10636,2025
08/25/2014,55076,11459,10667,2023
08/26/2014,54979,11422,10695,2011
08/27/2014,55025,11440,10669,2014
08/28/2014,55036,11452,10636,2013
08/29/2014,54873,11450,10490,2015
08/30/2014,54929,11467,10502,2014
08/31/2014,55029,11477,10545,2025
09/01/2014,55174,11496,10605,2030
09/02/2014,55221,11485,10637,2038
09/03/2014,55050,11439,10607,2031
09/04/2014,55222,11475,10646,2023
09/05/2014,55222,11493,10568,2023
09/06/2014,55342,11517,10614,2023
09/07/2014,55498,11547,10686,2027
09/08/2014,55616,11539,10742,2050
09/09/2014,55552,11521,10767,2054
09/10/2014,55728,11571,10731,2058
09/11/2014,55727,11575,10732,2052
09/12/2014,55768,11599,10682,2052
09/13/2014,55784,11613,10680,2059
09/14/2014,56082,11655,10797,2072
09/15/2014,56014,11626,10790,2073
09/16/2014,56034,11627,10822,2075
09/17/2014,56017,11615,10840,2084
09/18/2014,56112,11654,10798,2091
09/19/2014,56145,11667,10803,2088
09/20/2014,56108,11660,10785,2089
09/21/2014,56288,11688,10849,2099
09/22/2014,56348,11698,10863,2100
09/23/2014,56219,11669,10855,2095
09/24/2014,56285,11675,10902,2091
09/25/2014,56220,11686,10837,2080
09/26/2014,56143,11700,10714,2087
09/27/2014,56190,11710,10755,2088
09/28/2014,56373,11738,10847,2092
,,,,
,,,,
,,,,
,,,,
10/03/2014,56274,11742,10742,2079
10/04/2014,56329,11747,10763,2081
10/05/2014,56676,11807,10902,2087
,,,,
,,,,
,,,,
,,,,
10/10/2014,56701,11823,10817,2099
10/11/2014,56749,11821,10865,2101
10/12/2014,56934,11856,10935,2107
,,,,
,,,,
10/15/2014,57060,11866,10995,2110
10/16/2014,56992,11861,10958,2113
10/17/2014,56993,11884,10876,2116
10/18/2014,57115,11923,10886,2114
10/19/2014,57328,11943,11009,2120
10/20/2014,57343,11938,11025,2120
10/21/2014,57323,11925,11044,2111
10/22/2014,57390,11933,11114,2109
10/23/2014,57432,11948,11114,2101
10/24/2014,57364,11962,10986,2110
10/25/2014,57343,11969,10968,2098
10/26/2014,57548,12000,11088,2102
10/27/2014,57490,11986,11063,2106
10/28/2014,57480,11966,11086,2104
10/29/2014,57540,11992,11082,2100
10/30/2014,57586,12013,11036,2102
10/31/2014,57530,12031,10932,2105
11/01/2014,57551,12024,10982,2104
11/02/2014,57645,12024,11071,2099
11/03/2014,57665,12027,11075,2107
11/04/2014,57729,12055,11076,2115
11/05/2014,57646,12031,11067,2108
11/06/2014,57648,12051,11045,2111
11/07/2014,57676,12048,11024,2119
11/08/2014,57878,12105,11006,2129
11/09/2014,58054,12126,11109,2139
11/10/2014,58032,12108,11120,2138
11/11/2014,58060,12112,11127,2135
11/12/2014,58143,12135,11138,2140
11/13/2014,58174,12135,11186,2129
11/14/2014,58139,12145,11115,2129
11/15/2014,58258,12172,11147,2127
11/16/2014,58326,12179,11201,2130
11/17/2014,58351,12171,11243,2138
11/18/2014,58354,12166,11277,2134
11/19/2014,58477,12190,11305,2153
11/20/2014,58562,12228,11294,2144
11/21/2014,58532,12241,11256,2133
11/22/2014,58491,12252,11233,2134
11/23/2014,58469,12247,11254,2117
11/24/2014,58504,12248,11252,2124
11/21/2014,58532,12241,11256,2133
11/22/2014,58491,12252,11233,2134
11/23/2014,58469,12247,11254,2117
11/25/2014,58525,12250,11265,2123
11/26/2014,58493,12242,11250,2129
11/27/2014,58457,12254,11140,2144
11/28/2014,58535,12266,11197,2136
11/29/2014,58521,12247,11218,2145
11/30/2014,58555,12243,11266,2140
12/01/2014,58484,12216,11262,2142
12/02/2014,58506,12219,11292,2136
12/03/2014,58652,12252,11302,2141
12/04/2014,58741,12279,11295,2138
12/05/2014,58706,12290,11240,2137
12/06/2014,58700,12284,11248,2145
12/07/2014,58853,12313,11308,2144
12/08/2014,58898,12313,11343,2149
12/09/2014,58939,12332,11349,2149
12/10/2014,58945,12339,11334,2146
12/11/2014,58959,12339,11325,2152
12/12/2014,58915,12350,11244,2145
12/13/2014,58870,12351,11229,2129
12/14/2014,59019,12368,11324,2130
12/15/2014,59032,12345,11392,2137
12/16/2014,58959,12320,11395,2126
12/17/2014,59068,12349,11390,2129
12/18/2014,59050,12353,11393,2124
12/19/2014,58929,12341,11335,2123
12/20/2014,58820,12322,11296,2128
12/21/2014,58944,12333,11366,2136
12/22/2014,58913,12316,11357,2135
12/23/2014,58736,12283,11318,2125
12/24/2014,58499,12245,11198,2122
12/25/2014,58549,12243,11248,2124
12/26/2014,58586,12248,11270,2130
12/27/2014,58504,12229,11256,2127
12/28/2014,58516,12216,11322,2123
12/29/2014,58541,12191,11399,2124
12/30/2014,58310,12146,11318,2123
12/31/2014,57941,12137,11000,2128
01/01/2015,58142,12134,11239,2127
01/02/2015,58180,12148,11236,2116
01/03/2015,58172,12135,11247,2118
01/04/2015,58330,12149,11360,2124
01/05/2015,58369,12135,11405,2132
01/06/2015,58352,12120,11451,2132
01/07/2015,58474,12145,11474,2145
01/08/2015,58551,12173,11473,2153
01/09/2015,58428,12162,11366,2163
01/10/2015,58487,12158,11424,2169
01/11/2015,58583,12166,11489,2170
01/12/2015,58643,12175,11513,2171
01/13/2015,58628,12161,11548,2171
01/14/2015,58640,12167,11548,2174
01/15/2015,58667,12168,11538,2181
01/16/2015,58624,12163,11536,2172
01/17/2015,58520,12151,11481,2166
01/18/2015,58644,12179,11530,2167
01/19/2015,58691,12179,11581,2168
01/20/2015,58714,12163,11629,2171
01/21/2015,58645,12141,11638,2169
01/22/2015,58655,12143,11666,2168
01/23/2015,58545,12141,11583,2165
01/24/2015,58472,12122,11596,2166
01/25/2015,58627,12141,11667,2172
01/26/2015,58602,12120,11715,2162
01/27/2015,58732,12151,11727,2169
01/28/2015,58723,12138,11727,2173
01/29/2015,58614,12118,11713,2162
01/29/2015,58614,12118,11713,2162
01/30/2015,58506,12114,11599,2169
01/31/2015,58413,12084,11613,2163
02/01/2015,58479,12088,11654,2172
02/02/2015,58587,12088,11721,2187
02/05/2015,58350,12034,11703,2171
02/06/2015,58346,12036,11678,2176
02/07/2015,58262,12032,11618,2167
02/08/2015,58429,12045,11736,2173
02/10/2015,58329,12001,11771,2166
02/11/2015,58288,11991,11775,2174
02/12/2015,58267,11972,11809,2169
02/13/2015,58230,11973,11773,2174
02/14/2015,58089,11967,11674,2176
02/15/2015,58210,11970,11771,2181
02/16/2015,58292,11982,11823,2189
02/16/2015,58292,11982,11823,2189
02/17/2015,58344,11992,11847,2184
02/18/2015,58284,11958,11886,2184
02/19/2015,58269,11960,11862,2181
02/20/2015,58211,11959,11851,2178
02/21/2015,58104,11955,11776,2165
02/22/2015,58156,11953,11835,2166
02/23/2015,58142,11929,11875,2168
02/24/2015,58073,11902,11896,2172
02/25/2015,58083,11900,11904,2167
02/26/2015,57975,11897,11850,2153
02/27/2015,57927,11910,11769,2160
02/28/2015,57839,11892,11793,2156
03/01/2015,57961,11911,11852,2164
03/02/2015,57963,11900,11850,2168
03/03/2015,57819,11856,11860,2159
03/04/2015,57909,11882,11882,2160
03/05/2015,57872,11869,11861,2163
03/06/2015,57866,11881,11815,2169
03/07/2015,57911,11903,11791,2172
03/08/2015,57969,11906,11839,2167
03/09/2015,58027,11923,11826,2171
